Kanton;Jahr;Total_KFZ
AG;2005;311370
AG;2006;316298
AG;2007;321731
AG;2008;327074
AG;2009;329151
AG;2010;339424
AG;2011;348117
AG;2012;357099
AG;2013;364771
AG;2014;371223
AG;2015;378078
AG;2016;385642
AG;2017;390489
AG;2018;395038
AG;2019;399339
AG;2020;404417
AG;2021;410479
AG;2022;412986
AI;2005;7349
AI;2006;7421
AI;2007;7635
AI;2008;7731
AI;2009;8243
AI;2010;8286
AI;2011;8518
AI;2012;8654
AI;2013;8808
AI;2014;8951
AI;2015;9246
AI;2016;9456
AI;2017;9602
AI;2018;9736
AI;2019;9832
AI;2020;9937
AI;2021;10243
AI;2022;10300
AR;2005;27053
AR;2006;26490
AR;2007;26933
AR;2008;27631
AR;2009;28733
AR;2010;27580
AR;2011;28376
AR;2012;29144
AR;2013;29696
AR;2014;30312
AR;2015;30874
AR;2016;31345
AR;2017;31812
AR;2018;32009
AR;2019;32008
AR;2020;32161
AR;2021;32481
AR;2022;32391
BE;2005;465327
BE;2006;478545
BE;2007;481257
BE;2008;487023
BE;2009;471407
BE;2010;480990
BE;2011;488368
BE;2012;496854
BE;2013;504791
BE;2014;512043
BE;2015;519826
BE;2016;527314
BE;2017;531863
BE;2018;535407
BE;2019;537981
BE;2020;541507
BE;2021;547337
BE;2022;547500
BL;2005;133190
BL;2006;134693
BL;2007;134394
BL;2008;136417
BL;2009;143092
BL;2010;138195
BL;2011;139882
BL;2012;141538
BL;2013;142222
BL;2014;143596
BL;2015;145003
BL;2016;146631
BL;2017;147610
BL;2018;148410
BL;2019;149263
BL;2020;150347
BL;2021;151805
BL;2022;152254
BS;2005;66279
BS;2006;64812
BS;2007;64700
BS;2008;65319
BS;2009;64339
BS;2010;66077
BS;2011;66523
BS;2012;67356
BS;2013;66805
BS;2014;67028
BS;2015;65741
BS;2016;65956
BS;2017;66143
BS;2018;66159
BS;2019;65644
BS;2020;64504
BS;2021;64738
BS;2022;63734
FR;2005;136866
FR;2006;140577
FR;2007;142995
FR;2008;147724
FR;2009;155560
FR;2010;154180
FR;2011;158902
FR;2012;164212
FR;2013;168351
FR;2014;172240
FR;2015;176522
FR;2016;180259
FR;2017;183742
FR;2018;186371
FR;2019;188367
FR;2020;190922
FR;2021;193893
FR;2022;195639
GE;2005;224694
GE;2006;222710
GE;2007;221251
GE;2008;217702
GE;2009;215009
GE;2010;216504
GE;2011;218270
GE;2012;219766
GE;2013;219275
GE;2014;219636
GE;2015;221143
GE;2016;221757
GE;2017;221714
GE;2018;220491
GE;2019;219219
GE;2020;218952
GE;2021;217846
GE;2022;215814
GL;2005;19308
GL;2006;18558
GL;2007;18903
GL;2008;18965
GL;2009;20047
GL;2010;20651
GL;2011;21242
GL;2012;21822
GL;2013;22225
GL;2014;22572
GL;2015;23013
GL;2016;23231
GL;2017;23505
GL;2018;23657
GL;2019;23773
GL;2020;24008
GL;2021;24353
GL;2022;24297
GR;2005;92251
GR;2006;94140
GR;2007;95744
GR;2008;97940
GR;2009;101032
GR;2010;100122
GR;2011;102308
GR;2012;104538
GR;2013;106006
GR;2014;107662
GR;2015;109262
GR;2016;110726
GR;2017;112223
GR;2018;113300
GR;2019;113977
GR;2020;114824
GR;2021;116615
GR;2022;116859
JU;2005;36913
JU;2006;36981
JU;2007;37548
JU;2008;37888
JU;2009;37801
JU;2010;38600
JU;2011;39412
JU;2012;40077
JU;2013;40942
JU;2014;41438
JU;2015;41989
JU;2016;42575
JU;2017;43083
JU;2018;43415
JU;2019;43719
JU;2020;44052
JU;2021;44460
JU;2022;44564
LU;2005;168848
LU;2006;171365
LU;2007;175335
LU;2008;178789
LU;2009;180089
LU;2010;185867
LU;2011;190978
LU;2012;196171
LU;2013;200121
LU;2014;204286
LU;2015;209062
LU;2016;213061
LU;2017;216708
LU;2018;216386
LU;2019;218026
LU;2020;219577
LU;2021;221771
LU;2022;222910
NE;2005;87734
NE;2006;86894
NE;2007;87511
NE;2008;88117
NE;2009;88526
NE;2010;89980
NE;2011;91713
NE;2012;93517
NE;2013;94890
NE;2014;95191
NE;2015;96255
NE;2016;96938
NE;2017;97241
NE;2018;96989
NE;2019;96740
NE;2020;96835
NE;2021;97161
NE;2022;97015
NW;2005;21988
NW;2006;21813
NW;2007;22280
NW;2008;22415
NW;2009;23389
NW;2010;23874
NW;2011;24369
NW;2012;24837
NW;2013;25341
NW;2014;25705
NW;2015;26049
NW;2016;26430
NW;2017;26656
NW;2018;26892
NW;2019;27014
NW;2020;27310
NW;2021;27784
NW;2022;27897
OW;2005;17220
OW;2006;17297
OW;2007;17725
OW;2008;17932
OW;2009;18782
OW;2010;19542
OW;2011;20110
OW;2012;20701
OW;2013;21091
OW;2014;21454
OW;2015;21771
OW;2016;22042
OW;2017;22288
OW;2018;22624
OW;2019;22884
OW;2020;23117
OW;2021;23413
OW;2022;23417
SG;2005;224047
SG;2006;228737
SG;2007;231267
SG;2008;232637
SG;2009;238473
SG;2010;246075
SG;2011;252838
SG;2012;259581
SG;2013;264860
SG;2014;268737
SG;2015;272067
SG;2016;275969
SG;2017;278804
SG;2018;280720
SG;2019;282870
SG;2020;286099
SG;2021;289009
SG;2022;290796
SH;2005;39159
SH;2006;38219
SH;2007;38957
SH;2008;39711
SH;2009;39078
SH;2010;40311
SH;2011;41437
SH;2012;42334
SH;2013;43024
SH;2014;43785
SH;2015;44296
SH;2016;44970
SH;2017;45380
SH;2018;45710
SH;2019;46085
SH;2020;46634
SH;2021;47228
SH;2022;47726
SO;2005;133473
SO;2006;133213
SO;2007;134991
SO;2008;135941
SO;2009;136240
SO;2010;139864
SO;2011;142534
SO;2012;145972
SO;2013;148322
SO;2014;150356
SO;2015;152385
SO;2016;155081
SO;2017;156191
SO;2018;157261
SO;2019;158801
SO;2020;160717
SO;2021;162387
SO;2022;163027
SZ;2005;77768
SZ;2006;76528
SZ;2007;79809
SZ;2008;81805
SZ;2009;83108
SZ;2010;86245
SZ;2011;88593
SZ;2012;91168
SZ;2013;92766
SZ;2014;94458
SZ;2015;96378
SZ;2016;98477
SZ;2017;100054
SZ;2018;101436
SZ;2019;102839
SZ;2020;104485
SZ;2021;106251
SZ;2022;106895
TG;2005;126377
TG;2006;129898
TG;2007;131559
TG;2008;137042
TG;2009;145313
TG;2010;142616
TG;2011;147056
TG;2012;151919
TG;2013;155407
TG;2014;159528
TG;2015;163678
TG;2016;167035
TG;2017;170529
TG;2018;172815
TG;2019;174808
TG;2020;176961
TG;2021;179412
TG;2022;180170
TI;2005;193374
TI;2006;195473
TI;2007;198713
TI;2008;200122
TI;2009;202068
TI;2010;204462
TI;2011;208141
TI;2012;211697
TI;2013;215106
TI;2014;218839
TI;2015;222243
TI;2016;224565
TI;2017;225337
TI;2018;224666
TI;2019;223373
TI;2020;222391
TI;2021;222890
TI;2022;222583
UR;2005;16685
UR;2006;16138
UR;2007;16332
UR;2008;16331
UR;2009;17240
UR;2010;17699
UR;2011;18019
UR;2012;18444
UR;2013;18756
UR;2014;19018
UR;2015;19346
UR;2016;19563
UR;2017;19819
UR;2018;20016
UR;2019;20192
UR;2020;20337
UR;2021;20514
UR;2022;20499
VD;2005;353999
VD;2006;351776
VD;2007;355741
VD;2008;361110
VD;2009;357553
VD;2010;366762
VD;2011;375399
VD;2012;384687
VD;2013;391740
VD;2014;397551
VD;2015;403749
VD;2016;410283
VD;2017;414628
VD;2018;417188
VD;2019;416941
VD;2020;420332
VD;2021;423758
VD;2022;423136
VS;2005;166673
VS;2006;170647
VS;2007;174007
VS;2008;175605
VS;2009;181230
VS;2010;185530
VS;2011;191508
VS;2012;197712
VS;2013;201380
VS;2014;205075
VS;2015;209439
VS;2016;213611
VS;2017;217251
VS;2018;220259
VS;2019;221496
VS;2020;223780
VS;2021;227695
VS;2022;229719
ZG;2005;62206
ZG;2006;61928
ZG;2007;63392
ZG;2008;64963
ZG;2009;65159
ZG;2010;66963
ZG;2011;68959
ZG;2012;71061
ZG;2013;72770
ZG;2014;74798
ZG;2015;76957
ZG;2016;79137
ZG;2017;80904
ZG;2018;85023
ZG;2019;86373
ZG;2020;89070
ZG;2021;92075
ZG;2022;94812
ZH;2005;651102
ZH;2006;658731
ZH;2007;674948
ZH;2008;665751
ZH;2009;658814
ZH;2010;669381
ZH;2011;681387
ZH;2012;693864
ZH;2013;701419
ZH;2014;709008
ZH;2015;723697
ZH;2016;731975
ZH;2017;737247
ZH;2018;740710
ZH;2019;742388
ZH;2020;745059
ZH;2021;753768
ZH;2022;754340
